"Step","bert_appnp_new - train_loss","bert_appnp_new - train_loss__MIN","bert_appnp_new - train_loss__MAX","bert_sgc_new - train_loss","bert_sgc_new - train_loss__MIN","bert_sgc_new - train_loss__MAX","bert_gat_new - train_loss","bert_gat_new - train_loss__MIN","bert_gat_new - train_loss__MAX","bert_gcn_new - train_loss","bert_gcn_new - train_loss__MIN","bert_gcn_new - train_loss__MAX","bert_appnp_orig - train_loss","bert_appnp_orig - train_loss__MIN","bert_appnp_orig - train_loss__MAX","bert_sgc_orig - train_loss","bert_sgc_orig - train_loss__MIN","bert_sgc_orig - train_loss__MAX","bert_gat_orig - train_loss","bert_gat_orig - train_loss__MIN","bert_gat_orig - train_loss__MAX","bert_gcn_orig - train_loss","bert_gcn_orig - train_loss__MIN","bert_gcn_orig - train_loss__MAX"
"0","0.41231662034988403","0.41231662034988403","0.41231662034988403","0.47645819187164307","0.47645819187164307","0.47645819187164307","0.4362243413925171","0.4362243413925171","0.4362243413925171","0.18887314200401306","0.18887314200401306","0.18887314200401306","0.3901703655719757","0.3901703655719757","0.3901703655719757","0.5521237850189209","0.5521237850189209","0.5521237850189209","0.7164995074272156","0.7164995074272156","0.7164995074272156","0.5391301512718201","0.5391301512718201","0.5391301512718201"
"1","0.044918302446603775","0.044918302446603775","0.044918302446603775","0.40534380078315735","0.40534380078315735","0.40534380078315735","0.15115417540073395","0.15115417540073395","0.15115417540073395","0.5052313208580017","0.5052313208580017","0.5052313208580017","0.08978398144245148","0.08978398144245148","0.08978398144245148","0.41940128803253174","0.41940128803253174","0.41940128803253174","0.9493961930274963","0.9493961930274963","0.9493961930274963","0.529597282409668","0.529597282409668","0.529597282409668"
"2","0.20207935571670532","0.20207935571670532","0.20207935571670532","0.2844063937664032","0.2844063937664032","0.2844063937664032","0.2781513035297394","0.2781513035297394","0.2781513035297394","0.4390173852443695","0.4390173852443695","0.4390173852443695","0.25062277913093567","0.25062277913093567","0.25062277913093567","0.3592665493488312","0.3592665493488312","0.3592665493488312","0.5705079436302185","0.5705079436302185","0.5705079436302185","0.5482717156410217","0.5482717156410217","0.5482717156410217"
"3","0.014082619920372963","0.014082619920372963","0.014082619920372963","0.39336201548576355","0.39336201548576355","0.39336201548576355","0.20240654051303864","0.20240654051303864","0.20240654051303864","0.2887265384197235","0.2887265384197235","0.2887265384197235","0.029244698584079742","0.029244698584079742","0.029244698584079742","0.2588368356227875","0.2588368356227875","0.2588368356227875","0.2781126797199249","0.2781126797199249","0.2781126797199249","0.2491799294948578","0.2491799294948578","0.2491799294948578"
"4","0.012142922729253769","0.012142922729253769","0.012142922729253769","0.25750306248664856","0.25750306248664856","0.25750306248664856","0.13472795486450195","0.13472795486450195","0.13472795486450195","0.2121850848197937","0.2121850848197937","0.2121850848197937","0.3913061320781708","0.3913061320781708","0.3913061320781708","0.34294235706329346","0.34294235706329346","0.34294235706329346","0.2727798521518707","0.2727798521518707","0.2727798521518707","0.26032698154449463","0.26032698154449463","0.26032698154449463"
"5","0.5659897327423096","0.5659897327423096","0.5659897327423096","0.691524863243103","0.691524863243103","0.691524863243103","0.004650903865695","0.004650903865695","0.004650903865695","0.02920207381248474","0.02920207381248474","0.02920207381248474","0.27263545989990234","0.27263545989990234","0.27263545989990234","0.3448590934276581","0.3448590934276581","0.3448590934276581","0.30475208163261414","0.30475208163261414","0.30475208163261414","0.09679539501667023","0.09679539501667023","0.09679539501667023"
"6","0.020152617245912552","0.020152617245912552","0.020152617245912552","0.8154733777046204","0.8154733777046204","0.8154733777046204","0.08795405179262161","0.08795405179262161","0.08795405179262161","0.014699476771056652","0.014699476771056652","0.014699476771056652","0.06742995232343674","0.06742995232343674","0.06742995232343674","0.7367011904716492","0.7367011904716492","0.7367011904716492","0.25204434990882874","0.25204434990882874","0.25204434990882874","0.0416923351585865","0.0416923351585865","0.0416923351585865"
"7","0.0011402089148759842","0.0011402089148759842","0.0011402089148759842","0.9420697689056396","0.9420697689056396","0.9420697689056396","0.2191682755947113","0.2191682755947113","0.2191682755947113","0.05307179316878319","0.05307179316878319","0.05307179316878319","0.001239864039234817","0.001239864039234817","0.001239864039234817","0.8128278851509094","0.8128278851509094","0.8128278851509094","0.08786705136299133","0.08786705136299133","0.08786705136299133","0.44485434889793396","0.44485434889793396","0.44485434889793396"
"8","0.0004132114409003407","0.0004132114409003407","0.0004132114409003407","0.7200697660446167","0.7200697660446167","0.7200697660446167","0.058132365345954895","0.058132365345954895","0.058132365345954895","0.00643644155934453","0.00643644155934453","0.00643644155934453","0.008662099950015545","0.008662099950015545","0.008662099950015545","0.8942617774009705","0.8942617774009705","0.8942617774009705","0.4152889549732208","0.4152889549732208","0.4152889549732208","0.014308128505945206","0.014308128505945206","0.014308128505945206"
"9","0.002608588198199868","0.002608588198199868","0.002608588198199868","0.789925754070282","0.789925754070282","0.789925754070282","0.08401281386613846","0.08401281386613846","0.08401281386613846","0.03720249608159065","0.03720249608159065","0.03720249608159065","0.035886313766241074","0.035886313766241074","0.035886313766241074","0.5908402800559998","0.5908402800559998","0.5908402800559998","0.2710382044315338","0.2710382044315338","0.2710382044315338","0.12167739868164062","0.12167739868164062","0.12167739868164062"
