"Step","roberta_appnp_new - train_loss","roberta_appnp_new - train_loss__MIN","roberta_appnp_new - train_loss__MAX","roberta_sgc_new - train_loss","roberta_sgc_new - train_loss__MIN","roberta_sgc_new - train_loss__MAX","roberta_gat_new - train_loss","roberta_gat_new - train_loss__MIN","roberta_gat_new - train_loss__MAX","roberta_gcn_new - train_loss","roberta_gcn_new - train_loss__MIN","roberta_gcn_new - train_loss__MAX","roberta_appnp_orig - train_loss","roberta_appnp_orig - train_loss__MIN","roberta_appnp_orig - train_loss__MAX","roberta_sgc_orig - train_loss","roberta_sgc_orig - train_loss__MIN","roberta_sgc_orig - train_loss__MAX","roberta_gat_orig - train_loss","roberta_gat_orig - train_loss__MIN","roberta_gat_orig - train_loss__MAX","roberta_gcn_orig - train_loss","roberta_gcn_orig - train_loss__MIN","roberta_gcn_orig - train_loss__MAX"
"0","0.14795136451721191","0.14795136451721191","0.14795136451721191","0.4642423391342163","0.4642423391342163","0.4642423391342163","0.5297881364822388","0.5297881364822388","0.5297881364822388","0.31782495975494385","0.31782495975494385","0.31782495975494385","0.22201332449913025","0.22201332449913025","0.22201332449913025","0.6551709175109863","0.6551709175109863","0.6551709175109863","0.13409510254859924","0.13409510254859924","0.13409510254859924","0.2666294574737549","0.2666294574737549","0.2666294574737549"
"1","0.06269016861915588","0.06269016861915588","0.06269016861915588","0.46126192808151245","0.46126192808151245","0.46126192808151245","0.7125164270401001","0.7125164270401001","0.7125164270401001","0.21384643018245697","0.21384643018245697","0.21384643018245697","0.3841693103313446","0.3841693103313446","0.3841693103313446","0.37508103251457214","0.37508103251457214","0.37508103251457214","0.6292694807052612","0.6292694807052612","0.6292694807052612","0.4715026617050171","0.4715026617050171","0.4715026617050171"
"2","0.11604023724794388","0.11604023724794388","0.11604023724794388","0.7131775617599487","0.7131775617599487","0.7131775617599487","0.550558865070343","0.550558865070343","0.550558865070343","0.1757708340883255","0.1757708340883255","0.1757708340883255","0.6434844732284546","0.6434844732284546","0.6434844732284546","0.309751957654953","0.309751957654953","0.309751957654953","0.8226956725120544","0.8226956725120544","0.8226956725120544","0.2524193525314331","0.2524193525314331","0.2524193525314331"
"3","0.02886706031858921","0.02886706031858921","0.02886706031858921","0.44863003492355347","0.44863003492355347","0.44863003492355347","0.5790879130363464","0.5790879130363464","0.5790879130363464","0.12965840101242065","0.12965840101242065","0.12965840101242065","0.02255481667816639","0.02255481667816639","0.02255481667816639","0.36966007947921753","0.36966007947921753","0.36966007947921753","0.7039706707000732","0.7039706707000732","0.7039706707000732","0.13166114687919617","0.13166114687919617","0.13166114687919617"
"4","0.04672563448548317","0.04672563448548317","0.04672563448548317","0.4059716463088989","0.4059716463088989","0.4059716463088989","0.5195479393005371","0.5195479393005371","0.5195479393005371","0.15497447550296783","0.15497447550296783","0.15497447550296783","0.03511922061443329","0.03511922061443329","0.03511922061443329","0.2200557291507721","0.2200557291507721","0.2200557291507721","0.7103456854820251","0.7103456854820251","0.7103456854820251","0.17089033126831055","0.17089033126831055","0.17089033126831055"
"5","0.5874173045158386","0.5874173045158386","0.5874173045158386","0.3871692717075348","0.3871692717075348","0.3871692717075348","0.8808454871177673","0.8808454871177673","0.8808454871177673","0.5315166711807251","0.5315166711807251","0.5315166711807251","0.07975281029939651","0.07975281029939651","0.07975281029939651","0.29312241077423096","0.29312241077423096","0.29312241077423096","0.5295173525810242","0.5295173525810242","0.5295173525810242","0.1943279653787613","0.1943279653787613","0.1943279653787613"
"6","0.001694900100119412","0.001694900100119412","0.001694900100119412","0.29695701599121094","0.29695701599121094","0.29695701599121094","0.46141910552978516","0.46141910552978516","0.46141910552978516","0.11101796478033066","0.11101796478033066","0.11101796478033066","0.03680611029267311","0.03680611029267311","0.03680611029267311","0.5497629046440125","0.5497629046440125","0.5497629046440125","0.16462311148643494","0.16462311148643494","0.16462311148643494","0.01381688192486763","0.01381688192486763","0.01381688192486763"
"7","0.0029383189976215363","0.0029383189976215363","0.0029383189976215363","0.23027640581130981","0.23027640581130981","0.23027640581130981","0.7398845553398132","0.7398845553398132","0.7398845553398132","0.010089517571032047","0.010089517571032047","0.010089517571032047","0.0019532134756445885","0.0019532134756445885","0.0019532134756445885","0.16828547418117523","0.16828547418117523","0.16828547418117523","0.6185964345932007","0.6185964345932007","0.6185964345932007","0.11438103020191193","0.11438103020191193","0.11438103020191193"
"8","0.18617187440395355","0.18617187440395355","0.18617187440395355","0.18768037855625153","0.18768037855625153","0.18768037855625153","0.5984739661216736","0.5984739661216736","0.5984739661216736","0.019497470930218697","0.019497470930218697","0.019497470930218697","0.003481856547296047","0.003481856547296047","0.003481856547296047","0.5709288120269775","0.5709288120269775","0.5709288120269775","0.3915695250034332","0.3915695250034332","0.3915695250034332","0.07497336715459824","0.07497336715459824","0.07497336715459824"
"9","0.0017254329286515713","0.0017254329286515713","0.0017254329286515713","0.2761785387992859","0.2761785387992859","0.2761785387992859","0.6086692214012146","0.6086692214012146","0.6086692214012146","0.007385037373751402","0.007385037373751402","0.007385037373751402","0.002020022599026561","0.002020022599026561","0.002020022599026561","0.35845229029655457","0.35845229029655457","0.35845229029655457","0.375713050365448","0.375713050365448","0.375713050365448","0.1172342374920845","0.1172342374920845","0.1172342374920845"
